id,usualNameFr
yrmd0,École doctorale
s79DJ,Entreprise
P3XZB,Institution étrangère active en matière de recherche et d'innovation
vt1Z4,Institut ou école extérieur aux universités
mCpLW,Université
ctCSr,Communauté d'universités et établissements
7OtgP,Institut national polytechnique
OfNVg,Communauté d'universités et établissements expérimentale
J0mQ2,Grand établissement
gnP1F,École normale supérieure
hg3v5,École d'ingénieurs
Dgbe9,Grand établissement relevant d'un autre département ministériel
mNJ1Z,Incubateur public
3u0A2,École française à l'étranger
1uQLb,Centre hospitalier
b4Y82,Fondation reconnue d'utilité publique
Jb7uE,Centre de lutte contre le cancer
bXxJY,École de commerce et de management
BzeFm,École de formation agricole ou halieutique
IjlSb,Etablissement relevant d'un autre département ministériel rattaché à un EPSCP
2qg98,École nationale supérieure d'ingénieurs
0YVlb,Établissement privé d'enseignement universitaire
1F39N,Établissement d'enseignement supérieur privé rattachés à un EPSCP
2ZdzP,Organisme de recherche
hpU8F,Établissement public à caractère industriel et commercial
16xJD,Pôle de recherche et d'enseignement supérieur
NsMkU,Établissement d'enseignement supérieur étranger
93BR1,Établissement supérieur d'architecture
UfEnK,Établissement d'enseignement supérieur privé d'intérêt général
klwsX,Établissement public national
6052l,Organisme de financement de la recherche
B67Dl,Organisme lié à la recherche
7vn7r,Fondation de coopération scientifique
habHA,Institut hospitalo-universitaire
s8Vm3,Institut pour la transition énergétique
2ZTSf,Institut universitaire de technologie
i4O23,Observatoire
HDR9x,Institut d'étude politique
Eg7tX,Établissement public expérimental
ss6r4,Institut d’administration des entreprises
bf4uj,Infrastructure de recherche candidate à la feuille de route 2026
4Ak5K,Infrastructure de recherche
MTFHZ,Société d'accélération du transfert de technologies
YJcAf,École nationale supérieure agronomique
rh13d,Start-Up
HdCkH,Délégation régionale du CNRS
VshaQ,Centre de recherche Inria
Lv44w,Centre INRAE
qF496,Centre CEA
9hBcs,"École ou institut interne d'université, de grand établissement..."
ScN9N,Délégation régionale de l'Inserm
E61CB,"Institution étrangère en charge du financement de l'enseignement supérieur, de la recherche et de l'innovation"
6sQxt,Institution publique d'expertise et d'aide à la décision
XQE8E,"Institution étrangère en charge de la définition des politiques d'enseignement supérieur, de recherche et d'innovation"
AGyyx,Direction régionale du Centre de coopération internationale en recherche agronomique pour le développement
e3Ciu,Etablissement d'enseignement supérieur autorisé à délivrer un diplôme visé par le ministre chargé de l'enseignement supérieur et pouvant conférer le grade de licence ou de master à leurs titulaires
9jm7d,Institut du CNRS
uZ2E2,Entreprise étrangère
bf4i6,Cancéropôle
7v8JM,Incubateur
fJMdi,Établissement public national de coopération à caractère administratif
